City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Constitucion,CL,2021-04-19 02:38:43,-35.3333,-72.4167,54.63,70,49,4.09
110,Kuusamo,FI,2021-04-19 02:38:43,65.9667,29.1833,26.6,86,0,3.44
111,Igra,RU,2021-04-19 02:38:44,57.5558,53.0547,29.88,53,0,9.35
112,Thompson,CA,2021-04-19 02:36:04,55.7435,-97.8558,26.6,54,75,11.5
113,Portland,US,2021-04-19 02:35:28,45.5234,-122.6762,78.8,20,20,8.05
114,Steamboat Springs,US,2021-04-19 02:38:44,40.485,-106.8317,41.0,42,1,3.44
115,Mount Pleasant,US,2021-04-19 02:38:15,32.7941,-79.8626,68.0,94,100,5.7
116,Phayao,TH,2021-04-19 02:38:45,19.25,100.25,88.0,54,0,2.75
117,Progreso,MX,2021-04-19 02:38:45,21.2833,-89.6667,75.2,94,40,5.75
118,Vila,PT,2021-04-19 02:38:46,42.0304,-8.1588,52.0,82,100,1.99
119,Patti,IN,2021-04-19 02:38:46,31.2808,74.8572,71.6,60,20,4.61
120,New Norfolk,AU,2021-04-19 02:38:47,-42.7826,147.0587,66.0,66,100,11.99
121,Don Sak,TH,2021-04-19 02:38:47,9.3168,99.6918,89.01,70,40,6.91
122,Fortuna,US,2021-04-19 02:38:48,40.5982,-124.1573,52.0,100,1,13.8
123,Myronivka,UA,2021-04-19 02:38:48,49.6601,30.9823,37.0,95,82,5.93
124,Krivosheino,RU,2021-04-19 02:38:48,57.3431,83.9261,11.68,83,100,18.66
125,Praya,CV,2021-04-19 02:38:49,14.9215,-23.5087,69.8,78,20,10.36
126,Bambous Virieux,MU,2021-04-19 02:35:05,-20.3428,57.7575,78.8,83,75,11.5
127,Borup,DK,2021-04-19 02:38:49,55.4947,11.9758,39.99,87,98,4.61
128,Lompoc,US,2021-04-19 02:35:04,34.6391,-120.4579,55.0,87,0,10.36
129,Tarare,FR,2021-04-19 02:38:50,45.8976,4.4327,39.99,86,98,3.2
130,Tiznit,MA,2021-04-19 02:38:50,29.5833,-9.5,60.48,58,19,1.99
131,Wala,CM,2021-04-19 02:38:51,4.578,12.3154,67.1,97,100,3.11
132,Esperance,AU,2021-04-19 02:38:51,-33.8667,121.9,71.6,46,34,9.22
133,Namatanai,PG,2021-04-19 02:38:18,-3.6667,152.4333,87.31,63,88,5.93
134,Castro,BR,2021-04-19 02:38:52,-24.7911,-50.0119,55.31,98,22,5.77
135,Torbay,CA,2021-04-19 02:35:29,47.6666,-52.7314,36.0,100,90,8.05
136,Iqaluit,CA,2021-04-19 02:38:52,63.7506,-68.5145,14.0,79,75,6.91
137,Saint George,US,2021-04-19 02:38:53,37.1041,-113.5841,71.6,9,1,4.61
138,Palmer,US,2021-04-19 02:38:53,42.1584,-72.3287,51.8,71,90,4.61
139,Bredasdorp,ZA,2021-04-19 02:38:54,-34.5322,20.0403,64.4,88,99,3.44
140,Caetes,BR,2021-04-19 02:38:54,-8.7731,-36.6225,65.53,95,72,6.13
141,Khatra,IN,2021-04-19 02:38:55,22.9833,86.85,97.12,12,17,2.68
142,Bethel,US,2021-04-19 02:38:55,41.3712,-73.414,53.6,54,90,4.61
143,Hamilton,US,2021-04-19 02:38:56,39.1834,-84.5333,51.01,66,75,0.6
144,Bestobe,KZ,2021-04-19 02:38:56,52.4994,73.0975,25.9,46,12,15.43
145,Aykhal,RU,2021-04-19 02:38:56,66.0,111.5,8.29,71,66,4.0
146,Bubaque,GW,2021-04-19 02:38:57,11.2833,-15.8333,76.93,72,59,12.66
147,Belmonte,BR,2021-04-19 02:38:57,-15.8631,-38.8828,75.2,88,20,5.75
148,Beloha,MG,2021-04-19 02:38:58,-25.1667,45.05,61.99,81,0,9.78
149,Amahai,ID,2021-04-19 02:38:58,-3.3333,128.9167,85.48,64,73,6.46
150,North Platte,US,2021-04-19 02:37:49,41.1239,-100.7654,54.0,49,75,6.49
151,Nome,US,2021-04-19 02:36:58,64.5011,-165.4064,41.0,60,90,3.44
152,Luganville,VU,2021-04-19 02:38:59,-15.5333,167.1667,85.06,70,93,6.26
153,Saint-Augustin,CA,2021-04-19 02:39:00,51.226,-58.6502,37.47,93,100,22.64
154,Springbok,ZA,2021-04-19 02:39:00,-29.6643,17.8865,65.07,36,4,2.39
155,Camopi,GF,2021-04-19 02:39:00,3.1655,-52.3158,71.04,99,94,1.86
156,Longyearbyen,SJ,2021-04-19 02:39:01,78.2186,15.6401,28.4,93,90,7.67
157,Juba,SS,2021-04-19 02:39:01,4.8517,31.5825,73.31,75,99,4.52
