City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
476,Am Timan,11.0297,20.2827,86.43,43,63,12.03,TD,2021-04-21 05:39:37,broken clouds
477,Ulaangom,49.9811,92.0667,28.6,86,100,5.03,MN,2021-04-21 05:39:38,light snow
478,Atar,20.5169,-13.0499,73.69,20,14,10.02,MR,2021-04-21 05:39:38,few clouds
479,Esperance,-33.8667,121.9,69.8,49,50,9.22,AU,2021-04-21 05:39:39,scattered clouds
480,Naron,43.5167,-8.1528,52.0,100,20,1.14,ES,2021-04-21 05:39:39,few clouds
481,Onda,39.9667,-0.25,55.0,96,100,1.48,ES,2021-04-21 05:39:40,overcast clouds
482,Nome,64.5011,-165.4064,35.6,69,1,3.44,US,2021-04-21 05:39:40,clear sky
483,Matara,5.9485,80.5353,86.25,64,98,10.29,LK,2021-04-21 05:39:41,overcast clouds
484,Oum Hadjer,13.2954,19.6966,86.81,7,12,9.6,TD,2021-04-21 05:39:41,few clouds
485,Sisimiut,66.9395,-53.6735,19.56,74,2,8.23,GL,2021-04-21 05:39:42,clear sky
486,Rodrigues Alves,-7.738,-72.6509,71.08,99,81,2.48,BR,2021-04-21 05:39:43,broken clouds
487,Sibolga,1.7427,98.7792,86.76,62,98,6.35,ID,2021-04-21 05:39:44,overcast clouds
488,Siparia,10.1333,-61.5,73.99,91,54,10.38,TT,2021-04-21 05:39:44,broken clouds
489,Babu,24.4167,111.5167,81.9,68,77,4.41,CN,2021-04-21 05:39:45,broken clouds
490,Paamiut,61.994,-49.6678,26.06,65,10,7.85,GL,2021-04-21 05:39:45,clear sky
491,Kavaratti,10.5669,72.642,84.18,71,95,8.01,IN,2021-04-21 05:39:46,overcast clouds
492,Banyo,6.75,11.8167,70.29,75,100,1.68,CM,2021-04-21 05:39:46,overcast clouds
493,Tocopilla,-22.092,-70.1979,65.05,79,50,6.42,CL,2021-04-21 05:39:47,scattered clouds
494,Acari,-15.4311,-74.6158,69.66,86,8,2.8,PE,2021-04-21 05:39:48,clear sky
495,Pokoynoye,44.8097,44.2517,55.58,69,100,13.31,RU,2021-04-21 05:39:48,overcast clouds
496,Tacuarembo,-31.7333,-55.9833,58.73,92,0,9.6,UY,2021-04-21 05:39:49,clear sky
497,Norrtalje,59.758,18.705,44.01,56,0,5.75,SE,2021-04-21 05:39:49,clear sky
498,Qianan,44.9932,124.0581,81.46,18,10,19.08,CN,2021-04-21 05:39:50,clear sky
499,Roebourne,-20.7833,117.1333,89.26,24,43,6.58,AU,2021-04-21 05:39:51,scattered clouds
500,Jutai,-5.1833,-68.9,70.3,99,97,0.81,BR,2021-04-21 05:39:51,overcast clouds
501,Revin,49.9404,4.635,46.4,76,75,2.3,FR,2021-04-21 05:39:52,mist
502,Morgan City,29.6994,-91.2068,62.6,88,1,4.61,US,2021-04-21 05:39:52,clear sky
503,Ous,60.9058,61.5186,50.7,46,5,2.64,RU,2021-04-21 05:39:53,clear sky
504,Impfondo,1.6381,18.0667,71.96,97,100,0.92,CG,2021-04-21 05:39:53,overcast clouds
505,Raudeberg,61.9875,5.1352,37.99,94,100,26.19,NO,2021-04-21 05:39:54,overcast clouds
506,Chumikan,54.7183,135.315,41.67,58,53,7.11,RU,2021-04-21 05:39:55,broken clouds
507,Saint-Augustin,51.226,-58.6502,36.03,80,100,4.41,CA,2021-04-21 05:39:55,overcast clouds
508,Piacabucu,-10.4056,-36.4344,75.96,91,81,8.57,BR,2021-04-21 05:39:56,broken clouds
509,Ulaanbaatar,47.9077,106.8832,69.8,11,0,6.71,MN,2021-04-21 05:39:56,clear sky
510,Chapais,49.7834,-74.8492,17.6,73,90,10.36,CA,2021-04-21 05:39:57,light snow
511,Sunyani,7.3399,-2.3268,71.56,97,100,3.62,GH,2021-04-21 05:39:57,overcast clouds
512,Beyneu,45.3167,55.2,57.7,27,69,25.93,KZ,2021-04-21 05:39:58,broken clouds
513,Shimoda,34.6667,138.95,69.8,52,20,5.75,JP,2021-04-21 05:39:59,few clouds
514,Nagato,34.3833,131.2,69.8,49,0,3.44,JP,2021-04-21 05:40:00,clear sky
515,Mayo,38.8876,-76.5119,60.01,82,1,9.22,US,2021-04-21 05:40:00,clear sky
516,Snezhnogorsk,69.1933,33.2531,44.6,36,0,8.95,RU,2021-04-21 05:40:01,clear sky
517,Noshiro,40.2039,140.0242,55.4,35,20,24.16,JP,2021-04-21 05:40:02,few clouds
518,Port Blair,11.6667,92.75,87.8,70,20,6.91,IN,2021-04-21 05:40:03,few clouds
519,Muroto,33.2833,134.15,69.8,64,20,5.75,JP,2021-04-21 05:40:04,few clouds
520,Evensk,61.95,159.2333,33.96,85,100,10.85,RU,2021-04-21 05:40:05,overcast clouds
521,Kentau,43.5206,68.5094,42.3,75,100,13.0,KZ,2021-04-21 05:40:05,overcast clouds
522,Honiara,-9.4333,159.95,83.35,81,62,2.62,SB,2021-04-21 05:40:06,broken clouds
523,Amudat,1.95,34.95,74.98,57,82,1.5,UG,2021-04-21 05:40:06,broken clouds
524,Kirakira,-10.4544,161.9205,83.19,80,62,6.76,SB,2021-04-21 05:40:07,broken clouds
525,Kerema,-7.9631,145.7785,80.96,78,100,7.11,PG,2021-04-21 05:40:08,overcast clouds
526,San Estanislao,10.3983,-75.1511,80.6,89,20,4.61,CO,2021-04-21 05:40:08,few clouds
527,Fez,34.0372,-4.9998,53.6,100,75,4.61,MA,2021-04-21 05:40:09,mist
528,Oga,46.4631,10.347,48.99,86,20,1.14,IT,2021-04-21 05:40:09,few clouds
529,Gladstone,-23.85,151.25,82.4,47,75,9.22,AU,2021-04-21 05:40:10,broken clouds
530,Mandera,3.9366,41.867,85.21,59,87,11.03,KE,2021-04-21 05:40:10,overcast clouds
531,Dhidhdhoo,6.8833,73.1,84.47,69,72,5.86,MV,2021-04-21 05:40:11,broken clouds
532,Guarapari,-20.6667,-40.4975,71.6,94,20,4.09,BR,2021-04-21 05:40:11,few clouds
533,Kaohsiung,22.6163,120.3133,86.0,54,40,12.66,TW,2021-04-21 05:40:12,scattered clouds
534,Sechura,-5.5569,-80.8222,70.41,76,76,13.24,PE,2021-04-21 05:40:13,broken clouds
535,Atambua,-9.1061,124.8925,79.99,68,77,3.31,ID,2021-04-21 05:40:13,broken clouds
536,Synya,65.3718,58.0387,44.1,74,29,6.24,RU,2021-04-21 05:40:14,scattered clouds
537,Oranjemund,-28.55,16.4333,61.47,87,44,4.9,NA,2021-04-21 05:40:14,scattered clouds
538,Aguas Vermelhas,-15.7472,-41.46,65.7,97,100,1.45,BR,2021-04-21 05:40:15,overcast clouds
539,Kropachevo,55.0112,57.9896,45.37,36,0,2.51,RU,2021-04-21 05:40:15,clear sky
540,Tukrah,32.5341,20.5791,59.59,61,13,6.89,LY,2021-04-21 05:40:16,few clouds
541,Somerset,40.5668,-74.5496,57.99,62,1,3.44,US,2021-04-21 05:40:17,clear sky
542,Waipawa,-41.4122,175.5153,60.8,82,90,14.97,NZ,2021-04-21 05:40:17,overcast clouds
543,Kompaniyivka,48.2511,32.208,49.42,67,23,8.28,UA,2021-04-21 05:40:18,few clouds
544,Morondava,-20.2833,44.2833,79.25,65,87,8.5,MG,2021-04-21 05:40:18,overcast clouds
545,Alblasserdam,51.8599,4.6632,46.99,79,100,1.99,NL,2021-04-21 05:40:19,overcast clouds
546,Tafresh,34.692,50.013,62.6,42,41,2.3,IR,2021-04-21 05:40:19,scattered clouds
547,Dibulla,11.2725,-73.3091,76.77,74,80,11.01,CO,2021-04-21 05:40:20,broken clouds
548,Alice Springs,-23.7,133.8833,80.6,13,0,9.22,AU,2021-04-21 05:35:35,clear sky
549,Nouakchott,18.0858,-15.9785,64.4,94,40,11.5,MR,2021-04-21 05:40:21,scattered clouds
550,Alexander City,32.944,-85.9539,52.0,87,1,4.88,US,2021-04-21 05:40:21,clear sky
551,Ratnagiri,16.9833,73.3,87.93,52,95,9.6,IN,2021-04-21 05:40:22,overcast clouds
552,San Antonio,29.4241,-98.4936,62.6,44,1,16.11,US,2021-04-21 05:39:43,clear sky
553,Goma,-1.6792,29.2228,64.4,77,75,6.91,CD,2021-04-21 05:40:23,broken clouds
554,Mazyr,52.0495,29.2456,41.09,82,67,5.59,BY,2021-04-21 05:40:23,broken clouds
555,Manica,49.0,-1.1667,44.6,100,90,5.75,FR,2021-04-21 05:40:24,fog
556,Erdenet,49.0333,104.0833,47.12,38,73,13.18,MN,2021-04-21 05:40:24,broken clouds
557,Iskateley,67.6803,53.1512,36.16,89,22,9.22,RU,2021-04-21 05:40:25,few clouds
558,Taltal,-25.4,-70.4833,62.06,77,29,4.47,CL,2021-04-21 05:40:25,scattered clouds
559,Kommunisticheskiy,61.6789,64.4819,45.1,64,52,2.8,RU,2021-04-21 05:40:26,broken clouds
560,Iquique,-20.2208,-70.1431,66.2,63,0,8.05,CL,2021-04-21 05:36:00,clear sky
561,Otradnoye,59.7775,30.8181,42.01,65,0,2.24,RU,2021-04-21 05:40:27,clear sky
562,Mabaruma,8.2,-59.7833,70.74,95,29,1.95,GY,2021-04-21 05:40:27,scattered clouds
563,Ossora,59.2353,163.0719,33.03,95,99,7.14,RU,2021-04-21 05:40:28,overcast clouds
564,Mitu,1.1983,-70.1733,71.08,98,97,2.71,CO,2021-04-21 05:40:28,overcast clouds
565,Mehran,33.1222,46.1646,75.2,29,0,4.61,IR,2021-04-21 05:40:29,clear sky
566,Oxelosund,58.6706,17.1015,42.8,52,0,3.44,SE,2021-04-21 05:40:29,clear sky
567,Ingham,42.6,-84.3833,33.01,64,90,3.44,US,2021-04-21 05:40:30,overcast clouds
568,Calama,-22.4667,-68.9333,42.8,61,0,16.11,CL,2021-04-21 05:40:30,clear sky
569,San Quintin,30.4833,-115.95,56.59,84,87,8.68,MX,2021-04-21 05:40:31,overcast clouds
570,Floro,61.5996,5.0328,37.4,87,75,31.07,NO,2021-04-21 05:40:31,broken clouds
571,Zemaiciu Naumiestis,55.3592,21.7022,47.79,64,49,8.08,LT,2021-04-21 05:40:32,scattered clouds
572,Shubarkuduk,49.1447,56.4872,45.27,26,48,19.95,KZ,2021-04-21 05:40:32,scattered clouds
573,Viedma,-40.8135,-62.9967,64.53,78,84,18.12,AR,2021-04-21 05:40:33,broken clouds
574,Sawakin,19.1059,37.3321,84.56,59,0,6.22,SD,2021-04-21 05:40:33,clear sky
575,Soeng Sang,14.4264,102.4606,93.2,70,20,8.05,TH,2021-04-21 05:40:34,few clouds
576,Vostok,46.4856,135.8833,55.27,21,0,13.29,RU,2021-04-21 05:40:34,clear sky
577,Bud,39.447,-86.1758,30.0,97,94,6.49,US,2021-04-21 05:40:35,overcast clouds
