City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
472,Banda Aceh,ID,87.01,broken clouds,5.5577,95.3222,Sulthan Hotel International
473,Teahupoo,PF,78.8,broken clouds,-17.8333,-149.2667,Vanira Lodge
474,Padang,ID,87.8,few clouds,-0.9492,100.3543,Mercure Padang
476,Am Timan,TD,86.43,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
483,Matara,LK,86.25,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
484,Oum Hadjer,TD,86.81,few clouds,13.2954,19.6966,
487,Sibolga,ID,86.76,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
489,Babu,CN,81.9,broken clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
491,Kavaratti,IN,84.18,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
498,Qianan,CN,81.46,clear sky,44.9932,124.0581,Qian'an Hotel
499,Roebourne,AU,89.26,scattered clouds,-20.7833,117.1333,Harding River Caravan Park
508,Piacabucu,BR,75.96,broken clouds,-10.4056,-36.4344,Piaçabuçu News
518,Port Blair,IN,87.8,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
522,Honiara,SB,83.35,broken clouds,-9.4333,159.95,Heritage Park Hotel
524,Kirakira,SB,83.19,broken clouds,-10.4544,161.9205,SanBiz Lodge
525,Kerema,PG,80.96,overcast clouds,-7.9631,145.7785,Frena Lodge
526,San Estanislao,CO,80.6,few clouds,10.3983,-75.1511,Hostal Bugambilia
529,Gladstone,AU,82.4,broken clouds,-23.85,151.25,Highpoint International
530,Mandera,KE,85.21,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
531,Dhidhdhoo,MV,84.47,broken clouds,6.8833,73.1,Dhidhoo beach
533,Kaohsiung,TW,86.0,scattered clouds,22.6163,120.3133,Kindness Hotel
535,Atambua,ID,79.99,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
544,Morondava,MG,79.25,overcast clouds,-20.2833,44.2833,La Case Bambou
547,Dibulla,CO,76.77,broken clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
548,Alice Springs,AU,80.6,clear sky,-23.7,133.8833,Desert Palms Alice Springs
551,Ratnagiri,IN,87.93,overcast clouds,16.9833,73.3,Hotel Landmark
565,Mehran,IR,75.2,clear sky,33.1222,46.1646,بوتیک زنانه بهار
574,Sawakin,SD,84.56,clear sky,19.1059,37.3321,فندق الدويم
579,Sakakah,SA,82.4,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
580,Gorontalo,ID,88.79,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
587,Seoul,KR,82.4,overcast clouds,37.5683,126.9778,Lotte Hotel Seoul
591,Dali,CN,78.19,clear sky,25.7,100.1833,Dali Travelling With Hostel
596,Cayenne,GF,77.0,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
600,La Asuncion,VE,76.05,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
604,Moroni,KM,81.3,light rain,-11.7022,43.2551,Hotel les Arcades
609,Kahului,US,77.0,light rain,20.8947,-156.47,Maui Seaside Hotel
610,Dubai,AE,84.2,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
611,Mangrol,IN,86.22,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
613,Manokwari,ID,82.94,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
617,Aloleng,PH,84.11,overcast clouds,16.1307,119.7824,Agno Umbrella Rocks
621,Nedjo,ET,75.36,overcast clouds,9.5046,35.5019,Yerosan Hotel
624,Acapulco,MX,76.59,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
631,Noumea,NC,77.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
634,Muisne,EC,75.74,light rain,0.6,-80.0333,Quinta Samay
636,Araouane,ML,77.14,clear sky,18.9048,-3.5265,
642,Labuhan,ID,86.63,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
648,Sapouy,BF,81.59,overcast clouds,11.5544,-1.7736,Auberge St Louis
650,Bima,ID,85.28,broken clouds,-8.4667,118.7167,Lambitu Hotel
658,Bayan,CN,75.67,clear sky,46.0833,127.4,Wanhao Inn
666,Tabuk,PH,85.28,light rain,17.4189,121.4443,Golden Berries Hotel and Convention
667,Nanakuli,US,77.0,light rain,21.3906,-158.1547,Camp Pālehua
673,Bandarbeyla,SO,84.97,overcast clouds,9.4942,50.8122,JABIR HOTEL
675,Beloha,MG,75.7,scattered clouds,-25.1667,45.05,
678,Araceli,PH,85.62,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
680,Arlit,NE,83.12,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
682,Bikaner,IN,81.54,few clouds,28.0167,73.3,Karina Guest House
683,Caxito,AO,75.2,scattered clouds,-8.5785,13.6643,
